Position,Lat,Lon
6022S4624W,-60.22,-46.24
6012S4707W,-60.12,-47.07
6008S4629W,-60.08,-46.29
6007S4716W,-60.07,-47.16
6016S4558W,-60.16,-45.58
6003S4628W,-60.03,-46.28
6026S4528W,-60.26,-45.28
6006S4619W,-60.06,-46.19
6017S4607W,-60.17,-46.07
6007S4638W,-60.07,-46.38
6011S4537W,-60.11,-45.37
5956S4504W,-59.56,-45.04
6020S4533W,-60.20,-45.33
6009S4613W,-60.09,-46.13
6005S4640W,-60.05,-46.40
6041S4534W,-60.41,-45.34
6006S4735W,-60.06,-47.35
6012S4634W,-60.12,-46.34
6006S4620W,-60.06,-46.20
6008S4642W,-60.08,-46.42
6022S4549W,-60.22,-45.49
6023S4542W,-60.23,-45.42
6035S4518W,-60.35,-45.18
6006S4648W,-60.06,-46.48
6024S4530W,-60.24,-45.30
6021S4628W,-60.21,-46.28
6008S4622W,-60.08,-46.22
6005S4544W,-60.05,-45.44
6022S4600W,-60.22,-46.00
6018S4559W,-60.18,-45.59
6002S4635W,-60.02,-46.35
6004S4704W,-60.04,-47.04
6003S4626W,-60.03,-46.26
6012S4705W,-60.12,-47.05
6018S4608W,-60.18,-46.08
6041S4532W,-60.41,-45.32
6025S4531W,-60.25,-45.31
6017S4601W,-60.17,-46.01
6009S4624W,-60.09,-46.24
6005S4639W,-60.05,-46.39
6003S4648W,-60.03,-46.48
6021S4629W,-60.21,-46.29
6006S4605W,-60.06,-46.05
6004S4707W,-60.04,-47.07
6022S4546W,-60.22,-45.46
6015S4616W,-60.15,-46.16
6022S4554W,-60.22,-45.54
6001S4632W,-60.01,-46.32
6021S4532W,-60.21,-45.32
6019S4603W,-60.19,-46.03
6000S4531W,-60.00,-45.31
6028S4524W,-60.28,-45.24
6016S4605W,-60.16,-46.05
6020S4558W,-60.20,-45.58
6004S4632W,-60.04,-46.32
6008S4705W,-60.08,-47.05
6043S4605W,-60.43,-46.05
6018S4559W,-60.18,-45.59
6015S4611W,-60.15,-46.11
6002S4724W,-60.02,-47.24
6006S4644W,-60.06,-46.44
6018S4630W,-60.18,-46.30
6021S4555W,-60.21,-45.55
6016S4637W,-60.16,-46.37
6018S4557W,-60.18,-45.57
6001S4637W,-60.01,-46.37
6016S4607W,-60.16,-46.07
6006S4622W,-60.06,-46.22
6006S4640W,-60.06,-46.40
6020S4543W,-60.20,-45.43
6024S4543W,-60.24,-45.43
6022S4553W,-60.22,-45.53
6005S4654W,-60.05,-46.54
6025S4542W,-60.25,-45.42
6011S4544W,-60.11,-45.44
6013S4609W,-60.13,-46.09
6024S4555W,-60.24,-45.55
6001S4653W,-60.01,-46.53
6022S4531W,-60.22,-45.31
6024S4523W,-60.24,-45.23
6009S4634W,-60.09,-46.34
6007S4642W,-60.07,-46.42
6034S4515W,-60.34,-45.15
6006S4639W,-60.06,-46.39
6008S4612W,-60.08,-46.12
6008S4613W,-60.08,-46.13
6008S4648W,-60.08,-46.48
6020S4557W,-60.20,-45.57
6004S4637W,-60.04,-46.37
5955S4440W,-59.55,-44.40
6003S4542W,-60.03,-45.42
6013S4612W,-60.13,-46.12
6026S4619W,-60.26,-46.19
6043S4531W,-60.43,-45.31
6008S4700W,-60.08,-47.00
6040S4533W,-60.40,-45.33
6005S4657W,-60.05,-46.57
6024S4535W,-60.24,-45.35
6008S4702W,-60.08,-47.02
6017S4512W,-60.17,-45.12
6009S4635W,-60.09,-46.35
6024S4549W,-60.24,-45.49
6024S4551W,-60.24,-45.51
6019S4544W,-60.19,-45.44
6024S4518W,-60.24,-45.18
6006S4707W,-60.06,-47.07
6022S4544W,-60.22,-45.44
6002S4638W,-60.02,-46.38
6009S4642W,-60.09,-46.42
6002S4650W,-60.02,-46.50
6023S4547W,-60.23,-45.47
6023S4523W,-60.23,-45.23
6026S4619W,-60.26,-46.19
6024S4551W,-60.24,-45.51
6004S4650W,-60.04,-46.50
6007S4634W,-60.07,-46.34
6022S4550W,-60.22,-45.50
6017S4638W,-60.17,-46.38
6014S4636W,-60.14,-46.36
6023S4621W,-60.23,-46.21
6026S4553W,-60.26,-45.53
6012S4623W,-60.12,-46.23
6007S4637W,-60.07,-46.37
6026S4600W,-60.26,-46.00
6005S4702W,-60.05,-47.02
6025S4547W,-60.25,-45.47
6019S4557W,-60.19,-45.57
6021S4631W,-60.21,-46.31
6021S4546W,-60.21,-45.46
6019S4551W,-60.19,-45.51
6021S4540W,-60.21,-45.40
6003S4627W,-60.03,-46.27
6014S4655W,-60.14,-46.55
6020S4554W,-60.20,-45.54
6020S4638W,-60.20,-46.38
6015S4608W,-60.15,-46.08
6013S4607W,-60.13,-46.07
6017S4623W,-60.17,-46.23
6018S4602W,-60.18,-46.02
6009S4645W,-60.09,-46.45
6009S4622W,-60.09,-46.22
6007S4547W,-60.07,-45.47
6052S4400W,-60.52,-44.00
6027S4523W,-60.27,-45.23
6001S4623W,-60.01,-46.23
6017S4557W,-60.17,-45.57
6018S4641W,-60.18,-46.41
6023S4548W,-60.23,-45.48
6009S4620W,-60.09,-46.20
6015S4628W,-60.15,-46.28
6024S4612W,-60.24,-46.12
6005S4641W,-60.05,-46.41
6023S4520W,-60.23,-45.20
5927S4701W,-59.27,-47.01
6010S4654W,-60.10,-46.54
6017S4557W,-60.17,-45.57
6005S4629W,-60.05,-46.29
6022S4553W,-60.22,-45.53
6005S4650W,-60.05,-46.50
6019S4648W,-60.19,-46.48
6020S4548W,-60.20,-45.48
6019S4603W,-60.19,-46.03
6002S4635W,-60.02,-46.35
6005S4657W,-60.05,-46.57
6006S4644W,-60.06,-46.44
6003S4657W,-60.03,-46.57
6008S4719W,-60.08,-47.19
6005S4654W,-60.05,-46.54
6004S4704W,-60.04,-47.04
6005S4650W,-60.05,-46.50
6009S4634W,-60.09,-46.34
6009S4635W,-60.09,-46.35
6005S4640W,-60.05,-46.40
6012S4707W,-60.12,-47.07
6004S4704W,-60.04,-47.04
6008S4705W,-60.08,-47.05
6024S4555W,-60.24,-45.55
6017S4601W,-60.17,-46.01
6006S4707W,-60.06,-47.07
6006S4620W,-60.06,-46.20
