"","pMean","pSD","yr","mo","spp"
"1",0.003,0.011,1978,1,"GEPE"
"2",0.053,0.056,1982,1,"GEPE"
"3",0.006,0.013,1983,1,"GEPE"
"4",0.023,0.029,1993,1,"GEPE"
"5",0.001,0.005,1994,1,"GEPE"
"6",0.002,0.006,1995,1,"GEPE"
"7",0.043,0.131,1996,1,"GEPE"
"8",0.108,0.177,1998,1,"GEPE"
"9",0,0,1999,1,"GEPE"
"10",0.001,0.003,2000,1,"GEPE"
"11",0.016,0.069,2001,1,"GEPE"
"12",0.042,0.182,2002,1,"GEPE"
"13",0.113,0.141,2003,1,"GEPE"
"14",0.006,0.017,2004,1,"GEPE"
"15",0,0,2005,1,"GEPE"
"16",0,0,2006,1,"GEPE"
"17",0.057,0.122,2007,1,"GEPE"
"18",0.028,0.045,2008,1,"GEPE"
"19",0.001,0.003,2009,1,"GEPE"
"20",0.005,0.019,2010,1,"GEPE"
"21",0.011,0.029,2011,1,"GEPE"
"22",0.012,0.022,2012,1,"GEPE"
"23",0.12,0.126,2013,1,"GEPE"
"24",0.002,0.011,2014,1,"GEPE"
"25",0.008,0.034,2015,1,"GEPE"
"26",0.028,0.059,2016,1,"GEPE"
"27",0.001,0.002,2017,1,"GEPE"
"28",0.007,0.014,2018,1,"GEPE"
"29",0,0.002,2019,1,"GEPE"
"30",0.009,0.02,2020,1,"GEPE"
"31",0.008,0.018,1982,10,"GEPE"
"32",0,0,2010,10,"GEPE"
"33",0.015,0.028,1977,11,"GEPE"
"34",0.007,0.012,1982,11,"GEPE"
"35",0.014,0.058,1977,12,"GEPE"
"36",0.022,0.016,1981,12,"GEPE"
"37",0.048,0.078,1982,12,"GEPE"
"38",0.028,0.052,1992,12,"GEPE"
"39",0.006,0.012,1993,12,"GEPE"
"40",0.002,0.006,1995,12,"GEPE"
"41",0.02,0.035,2003,12,"GEPE"
"42",0,0,2004,12,"GEPE"
"43",0.008,0.011,2006,12,"GEPE"
"44",0.148,0.312,2010,12,"GEPE"
"45",0,0,2015,12,"GEPE"
"46",0,0,2016,12,"GEPE"
"47",0,NA,2019,12,"GEPE"
"48",0,0,1978,2,"GEPE"
"49",0.01,0.011,1982,2,"GEPE"
"50",0.012,0.018,1993,2,"GEPE"
"51",0,0,1995,2,"GEPE"
"52",0.032,0.038,1998,2,"GEPE"
"53",0,0,2004,2,"GEPE"
"54",0,0,2006,2,"GEPE"
"55",0.018,0.029,2008,2,"GEPE"
"56",0.002,0.006,2010,2,"GEPE"
"57",0.074,0.267,2013,2,"GEPE"
"58",0.013,0.03,2015,2,"GEPE"
"59",0,NA,2018,2,"GEPE"
"60",0.018,0.023,1978,1,"ADPE"
"61",0.047,0.058,1982,1,"ADPE"
"62",0.085,0.154,1983,1,"ADPE"
"63",0.046,0.046,1993,1,"ADPE"
"64",0.018,0.026,1994,1,"ADPE"
"65",0.012,0.024,1995,1,"ADPE"
"66",0.138,0.206,1996,1,"ADPE"
"67",0.101,0.159,1997,1,"ADPE"
"68",0.164,0.131,1998,1,"ADPE"
"69",0.004,0.008,1999,1,"ADPE"
"70",0.006,0.013,2000,1,"ADPE"
"71",0.057,0.076,2001,1,"ADPE"
"72",0.125,0.191,2002,1,"ADPE"
"73",0.227,0.186,2003,1,"ADPE"
"74",0.018,0.027,2004,1,"ADPE"
"75",0.004,0.014,2005,1,"ADPE"
"76",0.008,0.036,2006,1,"ADPE"
"77",0.171,0.22,2007,1,"ADPE"
"78",0.089,0.144,2008,1,"ADPE"
"79",0.007,0.018,2009,1,"ADPE"
"80",0.077,0.17,2010,1,"ADPE"
"81",0.312,0.347,2012,1,"ADPE"
"82",0.138,0.133,2013,1,"ADPE"
