"","pMean","pSD","yr","mo","spp"
"1",0.001,0.005,1978,1,"GEPE"
"2",0.038,0.046,1982,1,"GEPE"
"3",0,0,1983,1,"GEPE"
"4",0.007,0.014,1993,1,"GEPE"
"5",0.001,0.005,1994,1,"GEPE"
"6",0.001,0.004,1995,1,"GEPE"
"7",0.038,0.111,1996,1,"GEPE"
"8",0.075,0.136,1998,1,"GEPE"
"9",0,0,1999,1,"GEPE"
"10",0.001,0.003,2000,1,"GEPE"
"11",0.016,0.069,2001,1,"GEPE"
"12",0.041,0.182,2002,1,"GEPE"
"13",0.053,0.067,2003,1,"GEPE"
"14",0.005,0.017,2004,1,"GEPE"
"15",0,0,2005,1,"GEPE"
"16",0,0,2006,1,"GEPE"
"17",0.043,0.087,2007,1,"GEPE"
"18",0.022,0.039,2008,1,"GEPE"
"19",0,0,2009,1,"GEPE"
"20",0.004,0.015,2010,1,"GEPE"
"21",0.006,0.016,2011,1,"GEPE"
"22",0.009,0.02,2012,1,"GEPE"
"23",0.066,0.093,2013,1,"GEPE"
"24",0.002,0.011,2014,1,"GEPE"
"25",0.007,0.029,2015,1,"GEPE"
"26",0.02,0.043,2016,1,"GEPE"
"27",0,0,2017,1,"GEPE"
"28",0,0,2018,1,"GEPE"
"29",0,0.002,2019,1,"GEPE"
"30",0.009,0.02,2020,1,"GEPE"
"31",0.004,0.009,1982,10,"GEPE"
"32",0,0,2010,10,"GEPE"
"33",0.007,0.01,1977,11,"GEPE"
"34",0.007,0.012,1982,11,"GEPE"
"35",0.009,0.04,1977,12,"GEPE"
"36",0.022,0.016,1981,12,"GEPE"
"37",0.033,0.054,1982,12,"GEPE"
"38",0.028,0.052,1992,12,"GEPE"
"39",0.004,0.008,1993,12,"GEPE"
"40",0.002,0.006,1995,12,"GEPE"
"41",0.016,0.036,2003,12,"GEPE"
"42",0,0,2004,12,"GEPE"
"43",0.008,0.011,2006,12,"GEPE"
"44",0.042,0.089,2010,12,"GEPE"
"45",0,0,2015,12,"GEPE"
"46",0,0,2016,12,"GEPE"
"47",0,NA,2019,12,"GEPE"
"48",0,0,1978,2,"GEPE"
"49",0.01,0.011,1982,2,"GEPE"
"50",0.008,0.011,1993,2,"GEPE"
"51",0,0,1995,2,"GEPE"
"52",0.014,0.025,1998,2,"GEPE"
"53",0,0,2004,2,"GEPE"
"54",0,0,2006,2,"GEPE"
"55",0.015,0.023,2008,2,"GEPE"
"56",0.002,0.006,2010,2,"GEPE"
"57",0.071,0.267,2013,2,"GEPE"
"58",0.013,0.03,2015,2,"GEPE"
"59",0,NA,2018,2,"GEPE"
"60",0.015,0.021,1978,1,"ADPE"
"61",0.042,0.057,1982,1,"ADPE"
"62",0.068,0.127,1983,1,"ADPE"
"63",0.03,0.028,1993,1,"ADPE"
"64",0.012,0.021,1994,1,"ADPE"
"65",0.006,0.016,1995,1,"ADPE"
"66",0.113,0.174,1996,1,"ADPE"
"67",0.078,0.149,1997,1,"ADPE"
"68",0.112,0.09,1998,1,"ADPE"
"69",0.002,0.006,1999,1,"ADPE"
"70",0,0,2000,1,"ADPE"
"71",0.047,0.061,2001,1,"ADPE"
"72",0.107,0.181,2002,1,"ADPE"
"73",0.144,0.138,2003,1,"ADPE"
"74",0.009,0.017,2004,1,"ADPE"
"75",0.003,0.01,2005,1,"ADPE"
"76",0.008,0.036,2006,1,"ADPE"
"77",0.152,0.19,2007,1,"ADPE"
"78",0.077,0.133,2008,1,"ADPE"
